#{"t_start": 1684013378.3007886, "env_id": "Gym-v0"}
r,l,t,d
-1595.896099,500,297.241866,1.0
-1470.575015,500,582.598839,1.0
-1326.058631,500,861.373901,1.0
-1263.879478,500,1154.409276,1.0
-1179.676222,472,1455.405871,1.0
-1164.630563,473,1755.483243,1.0
3.513374,1,1756.515931,1.0
3.90592,1,1757.832066,1.0
-955.709,425,2057.986068,1.0
-1028.89246,463,2358.451236,0.9997676855468264
-970.961448,447,2660.1381,1.0
-702.019262,362,2960.430936,1.0000000354913698
-890.032574,448,3260.8607,1.000000016318136
3.874204,1,3262.232976,1.0
-745.628224,390,3562.500928,1.0
-786.500244,426,3863.353619,1.0
-777.70816,434,4163.631504,0.9859963908986765
-845.064309,500,4459.42339,1.0
-768.285508,460,4759.773106,1.0
-899.691499,500,5035.929041,1.0
-757.135958,489,5336.004604,1.0
-864.164916,500,5581.413705,1.0
-443.672503,351,5881.714619,1.0
3.857591,1,5883.147585,1.0
-529.025564,385,6183.694162,1.0
-1239.563627,396,6704.436943,1.0000000187302722
-635.041692,439,7004.490789,1.0
-892.927208,431,7304.873553,1.0
3.278752,1,7306.001374,1.0
-1289.89401,313,7606.092598,1.0
-1261.752297,322,7906.499303,1.0
-938.481825,254,8207.650341,1.0000000000007412
3.410324,1,8208.802916,1.0
-492.982754,388,8509.317137,1.0
-549.218413,425,8809.866637,1.0
-850.508644,500,9071.08279,0.9999999702309035
-678.899917,474,9371.621649,1.0
-631.081674,487,9671.693996,1.0
3.318984,1,9672.60503,1.0
-875.255105,474,9972.898821,1.0
-850.807959,453,10272.921139,0.9999999181948918
-679.805005,500,10547.078735,1.0
-779.203133,451,10847.430028,1.0
-786.806333,428,11147.45038,0.9999989791160696
3.501835,1,11148.290599,1.0
3.405918,1,11149.635627,1.0
-547.338755,319,11450.424769,1.0
-702.401575,391,11751.546937,1.0
-947.160034,500,12034.483373,1.0
-914.508766,367,12335.044461,1.0
-827.778216,500,12603.134866,1.0
3.860918,1,12604.293133,1.0
-1155.76564,500,12893.69778,1.0000000305218535
-750.030919,500,13183.649805,1.0000000341746051
-515.257879,400,13484.259236,1.0000000368411393
-180.104971,141,13785.654163,1.0
-485.431172,391,14085.889798,1.0
-884.124679,460,14386.343783,0.9999999999958966
3.808954,1,14387.409493,1.0
-688.116991,409,14687.550029,1.0
-1570.225157,500,14919.557859,1.0
-563.403855,336,15219.803628,0.9999999601772238
-669.055899,500,15508.519398,1.0
-508.671745,399,15815.411029,1.0
-866.764074,480,16115.71338,0.9999999850381026
-404.450051,349,16416.041053,1.0
-342.617731,281,16716.798805,1.0
-556.094902,444,17016.913411,1.000000043805646
-1251.639884,500,17270.943938,1.0
-1797.118376,500,17503.800721,1.0
-603.047174,424,17804.026008,1.0
-372.406643,330,18104.327044,1.0
-378.114138,261,18405.133104,1.0
-381.117217,320,18705.35552,1.0
-1316.958222,500,18943.05339,0.9999987010798296
-751.871329,500,19164.000471,1.0
-282.59573,210,19465.616266,1.0
-404.29218,331,19766.193388,1.0
-816.88796,500,20024.799004,1.0
-682.677712,357,20324.814864,1.0
-753.4899,500,20599.71279,1.0
-690.758122,459,20899.995952,1.0
3.888606,1,20901.080877,1.0
-693.307868,471,21201.266858,1.0
-731.108832,448,21502.24113,1.0
3.752154,1,21503.431937,1.0
-622.320522,400,21803.80649,1.0
-701.031363,399,22104.311049,1.0
-334.326085,262,22404.621744,1.0
-894.158447,487,22704.973837,1.0
3.83602,1,22705.920516,1.0
-786.849612,500,22939.344385,1.0
3.632373,1,22940.721344,1.0
-885.754168,360,23240.868167,0.9999999911024336
-551.857079,360,23541.231154,1.0
3.802033,1,23542.930032,1.0
-1114.883929,500,23829.55401,1.0
3.584871,1,23830.486775,1.0
-450.896229,360,24131.075856,1.0
-439.858886,306,24431.717775,1.0
-541.997169,345,24732.017318,1.0
-1046.979961,500,25009.308901,1.0
3.739788,1,25010.290611,1.0
3.776748,1,25011.557047,1.0
-990.568969,500,25310.207379,1.0
-786.001983,477,25703.575624,1.0
